idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Wnef_ha;Cnef_ha;Clt_ha;Cor_ha;Css_ha;Csp_ha
156260;42.77964156;12.20772331;4740139;2291592;Est;010;Umbria;7;1.30451008;0.65225504;5.544913701;0.947987723;26.38607566;24.47958156
156284;42.77964156;12.501008;4739386;2315585;Est;010;Umbria;9;0;0;3.313884353;3.197368229;55.31983857;100.0886707
156367;42.77964156;13.51528423;4737426;2398557;Est;013;Abruzzo;11;4.551859067;2.275929533;1.085731937;0.047523894;38.55618573;34.16466457
156787;42.76163786;11.79242776;4739349;2257540;Est;012;Lazio;19;1.008502131;0.504251065;0.668642849;0.36715276;38.72729654;36.05215519
156850;42.76163786;12.56207713;4737240;2320523;Est;010;Umbria;14;0.562696763;0.281348382;0.801773088;3.284332605;65.26882694;71.85277514
156869;42.76163786;12.79419361;4736717;2339517;Est;010;Umbria;6;1.078261049;0.539130524;7.740696497;7.551510634;39.84024697;8.855505216
156946;42.76163786;13.73487618;4735133;2416491;Est;013;Abruzzo;13;11.52920058;5.764600291;4.659944997;0.981526557;49.75532221;44.85581853
157194;42.75263598;13.45374809;4734517;2393468;Est;011;Marche;11;3.820060199;1.9100301;0.719173403;0;26.13988029;39.04489373
157338;42.7436341;11.92696301;4736939;2268477;Est;012;Lazio;10;1.212263604;0.606131802;1.643472105;4.410387708;37.13509585;34.30152649
157346;42.7436341;12.02466798;4736652;2276475;Est;010;Umbria;10;0;0;2.684914167;2.524592507;41.84541461;30.33475938
157407;42.7436341;12.76966837;4734771;2337457;Est;010;Umbria;15;0.228244774;0.114122387;2.583530989;11.69152174;41.15330148;10.88125331
157409;42.7436341;12.79409462;4734718;2339457;Est;010;Umbria;12;0;0;1.833959476;7.744172424;34.06012594;36.33047768
157464;42.7436341;13.46581629;4733499;2394438;Est;011;Marche;11;0;0;1.901071424;1.165117066;26.21665351;26.40087025
157923;42.72563028;12.74515736;4732825;2335398;Est;010;Umbria;12;1.845893036;0.922946518;0.512348444;22.5544483;45.71757484;17.50887739
158217;42.71662835;13.27005144;4730810;2378353;Est;012;Lazio;24;4.088878841;2.044439421;1.800693586;1.702575742;39.29333807;35.72904662
158237;42.71662835;13.51420792;4730429;2398346;Est;013;Abruzzo;9;0;0;0.124783449;0;32.03790064;35.22990908
158475;42.70762641;13.4041999;4729594;2389319;Est;011;Marche;8;2.843463266;1.421731633;1.601986955;0;43.98990587;50.70781618
158642;42.69862445;12.43992293;4730538;2310314;Est;010;Umbria;10;0.91859619;0.459298095;4.361598583;0.942664022;47.25788321;28.78578997
158655;42.69862445;12.59857878;4730156;2323310;Est;010;Umbria;13;0.689575864;0.344787932;1.472329521;0;30.00433276;59.82895118
158660;42.69862445;12.65960027;4730016;2328309;Est;010;Umbria;6;1.69419168;0.84709584;3.259423321;8.15000517;40.12463248;22.65130023
158905;42.68962248;12.64736777;4729044;2327279;Est;010;Umbria;6;0;0;2.556285833;1.777408222;31.42161169;28.80973062
158938;42.68962248;13.0500514;4728204;2360268;Est;010;Umbria;9;0;0;4.103746015;17.88153439;28.70831855;28.90291188
158940;42.68962248;13.07445647;4728158;2362268;Est;010;Umbria;10;0.218062828;0.109031414;1.75364497;4.180469366;38.9817334;39.13273332
159122;42.6806205;12.29351718;4728913;2298258;Est;010;Umbria;15;0;0;1.631155912;0.829354817;27.3810048;15.22802415
159149;42.6806205;12.62293804;4728100;2325250;Est;010;Umbria;11;0;0;1.145469072;0;46.68381739;37.17401433
159346;42.6716185;12.02516181;4728652;2276233;Est;010;Umbria;11;0;0;4.869759293;1.344185044;37.55890079;25.99431009
159742;42.66261648;13.84261391;4724011;2425156;Est;013;Abruzzo;19;1.386254216;0.693127108;1.596330764;1.51447322;21.97737474;33.9675426
159908;42.65361446;12.85457847;4724593;2344153;Est;010;Umbria;10;1.410828699;0.70541435;5.19357427;6.525054003;52.66650057;27.53877786
160169;42.64461241;13.01303898;4723276;2357119;Est;010;Umbria;10;2.53267418;1.26633709;7.084980416;12.13843768;37.48037319;27.55995567
160416;42.63561036;13.03734209;4722230;2359088;Est;010;Umbria;14;2.158788071;1.079394035;0.694600368;0;50.80667407;56.92816179
160639;42.62660829;12.78126315;4721749;2338065;Est;010;Umbria;15;8.320150071;4.160075036;3.557729369;4.820794316;38.69967545;18.08708912
160892;42.6176062;12.89091191;4720520;2347032;Est;010;Umbria;8;0.905207837;0.452603918;2.45276356;4.454654614;43.27005791;47.78582268
160897;42.6176062;12.95185422;4720397;2352030;Est;010;Umbria;10;0;0;2.366265679;8.910153428;48.64838626;35.70196214
160912;42.6176062;13.13468118;4720050;2367025;Est;012;Lazio;12;0.765325163;0.382662582;4.289102187;15.78082059;27.19772141;10.12887095
161233;42.59960199;10.07606122;4716927;1588304;Ovest;009;Toscana;6;0;0;6.659915556;0;53.01603081;43.47210944
161431;42.59960199;13.50003325;4717454;2396955;Est;013;Abruzzo;10;0.276311454;0.138155727;0.145394328;0.09121379;35.52600449;36.82651274
161691;42.59059986;13.67044725;4716221;2410920;Est;013;Abruzzo;13;6.708950366;3.354475183;1.523703704;0;35.55446458;42.64257994
162195;42.57259556;13.75535464;4714115;2417857;Est;013;Abruzzo;7;3.527132104;1.763566052;0.319072841;1.315824402;28.60168241;32.41081852
162240;42.56359339;11.30740046;4714947;1689432;Ovest;009;Toscana;17;0;0;1.30966302;0.17587519;66.17534025;64.34039075
162418;42.56359339;13.47507454;4713493;2394835;Est;013;Abruzzo;7;3.273966291;1.636983146;5.652829821;3.31580088;40.53499845;45.1275633
162646;42.55459121;13.2922846;4712779;2379810;Est;013;Abruzzo;2;0.867193876;0.433596938;2.545088795;0;41.21880828;30.5085138
162990;42.5365868;11.58786584;4715012;2239791;Est;012;Lazio;10;1.806144871;0.903072436;2.949669318;1.521192366;27.82576021;31.05045366
163104;42.5365868;12.97555313;4711353;2353759;Est;012;Lazio;8;2.24321307;1.121606535;2.992004132;6.999933409;40.92364575;87.82500008
163167;42.5365868;13.74243295;4710132;2416737;Est;013;Abruzzo;19;0.303223039;0.151611519;0;0;29.41096852;23.1069462
163349;42.52758457;13.02416176;4710259;2357728;Est;012;Lazio;8;2.713392564;1.356696282;10.89192135;46.79086814;18.06417225;22.6796306
163673;42.51858233;14.00978487;4707842;2438670;Est;013;Abruzzo;19;0;0;1.25515775;0;26.05103765;51.93880994
163874;42.50958008;13.48636081;4707478;2395655;Est;013;Abruzzo;8;4.429856412;2.214928206;4.137649087;7.710988158;31.53495285;30.63090852
164019;42.50057781;12.2696416;4708981;2295655;Est;012;Lazio;9;0.780511302;0.390255651;1.188104811;0.497581411;27.22249926;32.21245295
164105;42.50057781;13.31589252;4706742;2381629;Est;013;Abruzzo;4;1.804713979;0.902356989;4.304841288;38.29202226;24.56641013;16.22937667
164419;42.49157552;14.15508213;4704714;2450575;Est;013;Abruzzo;6;0;0;4.671958;0.604095005;62.13052215;32.60718872
164430;42.48257322;11.29671636;4705926;1688799;Ovest;009;Toscana;9;1.091091062;0.545545531;1.456192982;0.508600164;42.07376281;104.706731
164448;42.48257322;11.51563631;4706437;1706794;Ovest;009;Toscana;10;1.010190629;0.505095315;1.107095362;4.829642082;49.02229045;41.80899725
165040;42.46456859;12.6953019;4703943;2330525;Est;010;Umbria;12;0.312433592;0.156216796;1.424016543;0.87944573;37.94145626;21.56740435
165083;42.46456859;13.21812747;4702907;2373511;Est;013;Abruzzo;11;0;0;1.056251856;0.08150576;28.48725229;29.09706869
166578;42.41055433;12.73153804;4697865;2333345;Est;012;Lazio;12;9.718211146;4.859105573;2.297796971;11.73196204;41.99477807;38.13215338
167250;42.38354701;11.69925574;4697653;2248277;Est;012;Lazio;10;0.83458516;0.41729258;0.959440181;1.257870452;34.02176296;62.57625059
167357;42.38354701;12.9985662;4694313;2355247;Est;012;Lazio;9;1.366781276;0.683390638;3.056682664;10.27379679;35.11106378;62.66495118
167534;42.37454454;12.17287608;4695246;2287238;Est;012;Lazio;7;0.295883516;0.147941758;0.684076778;7.335171677;46.35375326;73.18699091
167671;42.37454454;13.83624158;4692029;2424194;Est;013;Abruzzo;14;0;0;1.009204627;7.95392416;3.358851656;0
167911;42.36554206;13.77534585;4691100;2419166;Est;013;Abruzzo;8;0;0;0.418214833;0;68.39661879;61.4413774
167969;42.35653956;11.54178565;4695169;2235189;Est;012;Lazio;16;2.963940648;1.481970324;1.929904296;0;28.92010027;38.64816394
168156;42.35653956;13.81157063;4690058;2422135;Est;013;Abruzzo;8;1.813341484;0.906670742;7.270919055;0.491147281;74.48446957;44.7326268
168548;42.33853453;12.68268128;4689976;2329106;Est;012;Lazio;15;0;0;1.270220993;5.412840231;59.1590448;41.83409627
168675;42.33853453;14.22375317;4687666;2456063;Est;013;Abruzzo;18;0.092679467;0.046339733;0.916666667;2.138201225;37.69557561;16.91609596
168786;42.32953199;12.67051571;4689004;2328076;Est;012;Lazio;15;5.965672837;2.982836419;3.613993909;16.79044232;42.50912428;13.79569859
168806;42.32953199;12.91316959;4688484;2348070;Est;012;Lazio;10;0.786868693;0.393434346;1.792154644;2.336152184;17.94734241;21.51426505
168856;42.32953199;13.51980428;4687436;2398053;Est;013;Abruzzo;5;0;0;1.213137443;0.239780847;14.36471985;29.61600655
169278;42.31152687;12.90090893;4686510;2347010;Est;012;Lazio;9;5.864172503;2.932086251;2.966309578;7.377367451;24.17771496;19.99068539
169289;42.31152687;13.03433052;4686247;2358007;Est;012;Lazio;12;3.462559402;1.731279701;1.577472728;4.758129526;29.51281093;28.34682877
169712;42.29352169;12.51275612;4685373;2314960;Est;012;Lazio;13;1.573792174;0.786896087;1.476666667;1.631892852;34.53437702;48.73396159
170231;42.27551646;13.16734456;4682003;2368884;Est;012;Lazio;5;0.842097961;0.42104898;6.606560813;17.29561678;44.57901556;59.90103318
170490;42.26651382;13.47025786;4680510;2393845;Est;013;Abruzzo;10;3.496902822;1.748451411;7.832206161;11.51188443;54.80352707;52.8017567
170518;42.26651382;13.80963474;4680063;2421836;Est;013;Abruzzo;15;0;0;3.310631673;21.7866624;20.00680066;14.63504865
171065;42.23950582;11.91904818;4680976;2265793;Est;012;Lazio;14;0.161469506;0.080734753;1.297235714;3.638079415;38.88489849;54.99604966
171156;42.23950582;13.02155256;4678274;2356768;Est;012;Lazio;13;0;0;0.345931208;0.329938099;37.73429099;34.31618568
171160;42.23950582;13.07001429;4678182;2360767;Est;012;Lazio;11;20.67953673;10.33976837;1.507142178;0;27.19988236;16.86406714
171220;42.23950582;13.79694026;4677079;2420746;Est;013;Abruzzo;15;0;0;1.329660036;0.524077084;26.62193599;0
171234;42.23950582;13.96655632;4676895;2434742;Est;013;Abruzzo;6;0;0;1.847705757;0;21.38582189;0
171293;42.23050312;11.84644167;4680196;2259765;Est;012;Lazio;17;0;0;0.165491636;0.683654327;40.60349034;57.20006735
171908;42.21249769;13.59049259;4674341;2403663;Est;013;Abruzzo;12;0.760509732;0.380254866;1.949304744;8.562430214;33.9337036;28.75457961
172165;42.20349495;13.82039342;4673053;2422626;Est;013;Abruzzo;6;3.323194581;1.66159729;1.33806133;0;61.78069748;60.58306715
172407;42.1944922;13.86862655;4672000;2426595;Est;013;Abruzzo;6;0.804195917;0.402097959;1.151166568;9.774949261;27.64060444;23.5086692
172425;42.1944922;14.08654952;4671784;2444588;Est;013;Abruzzo;5;0.316574597;0.158287299;0;0;84.74700578;42.45286054
172671;42.18548944;14.15894829;4670722;2450556;Est;013;Abruzzo;4;5.104786888;2.552393444;9.612813325;4.378441472;16.19476862;14.04529442
172885;42.17648666;13.83191447;4670041;2423536;Est;013;Abruzzo;14;0.07598565;0.037992825;1.672478173;1.166019417;25.1337093;7.212611348
172910;42.17648666;14.1344994;4669743;2448527;Est;013;Abruzzo;8;11.59765909;5.798829546;2.129918977;12.35092884;11.66037092;0
172911;42.17648666;14.14660279;4669733;2449527;Est;013;Abruzzo;8;5.239462891;2.619731446;1.499570648;5.029410343;14.69488766;13.33047713
172969;42.16748386;11.91965327;4672976;2265554;Est;012;Lazio;24;1.319675018;0.659837509;1.480628858;0.362121684;29.82769638;27.20241334
173130;42.16748386;13.86802386;4669002;2426506;Est;013;Abruzzo;5;0;0;4.394096552;0.654958287;31.80296438;12.83246321
173361;42.15848105;13.67422371;4668232;2410481;Est;013;Abruzzo;7;0;0;0;0;21.48140818;39.41561915
173622;42.14947823;13.85552428;4667016;2425446;Est;013;Abruzzo;15;0.20003141;0.100015705;0.086020677;0;21.62206791;40.86038858
174044;42.13147254;13.02058392;4666280;2356410;Est;012;Lazio;13;2.242122618;1.121061309;1.292302754;2.874682836;16.38026222;22.69749362
174588;42.1134668;13.66126717;4663251;2409332;Est;013;Abruzzo;8;4.118336055;2.059168027;3.86371878;20.00108643;49.37328389;25.50088839
175042;42.095461;13.23784584;4661887;2374284;Est;013;Abruzzo;9;0;0;0.240391562;0.176486022;33.89134155;25.16939806
175085;42.095461;13.75762893;4661131;2417270;Est;013;Abruzzo;5;0.02791897;0.013959485;0.887528631;4.391806483;25.1325517;41.81563251
175107;42.095461;14.02356446;4660845;2439262;Est;013;Abruzzo;14;0.91474358;0.45737179;0.778264734;0;13.36383155;26.08460742
175507;42.07745514;12.98384791;4660352;2353232;Est;012;Lazio;14;0;0;0.343945351;1.451520467;25.51099406;36.25670047
175901;42.05944922;11.83598875;4661232;2258198;Est;012;Lazio;14;0.843325584;0.421662792;0.821042699;0.402184763;46.14903432;44.1287842
175918;42.05944922;12.04136824;4660623;2275193;Est;012;Lazio;10;2.302075135;1.151037568;1.807175732;0.253672436;22.50403081;22.07833719
176061;42.05944922;13.76897219;4657119;2418151;Est;013;Abruzzo;4;0.302667614;0.151333807;0.944881821;9.87249512;43.04040521;86.70557823
176063;42.05944922;13.79313449;4657091;2420150;Est;013;Abruzzo;7;0;0;0.156551086;2.194511078;36.63441579;84.08404474
176252;42.05044624;13.104417;4657125;2363139;Est;013;Abruzzo;12;0.791986917;0.395993459;0;6.90335999;35.96106744;22.95999059
176758;42.03244024;13.24914524;4654870;2375076;Est;013;Abruzzo;11;3.53415769;1.767078845;2.036111037;0.724133728;26.35321189;24.50550899
176976;42.02343722;12.97132327;4654378;2352053;Est;012;Lazio;14;4.561568486;2.280784243;1.274646593;8.891277167;34.83004735;24.20763167
177231;42.01443419;13.12819415;4653083;2365020;Est;013;Abruzzo;14;8.005079984;4.002539992;3.199531039;33.92238179;5.885048509;11.77009702
177522;42.00543114;13.69543214;4651212;2411975;Est;013;Abruzzo;9;0;0;0.822820109;0;41.04593615;35.9218503
177594;42.00543114;14.5645385;4650479;2483948;Est;013;Abruzzo;14;0.804661361;0.402330681;1.929019555;8.237709937;54.44274544;50.57107456
177619;42.00543114;14.86631154;4650395;2508938;Est;014;Molise;12;0;0;0.607099171;1.329281694;60.90713123;60.01788238
177766;41.99642808;13.65904924;4650258;2408946;Est;013;Abruzzo;5;1.970297868;0.985148934;0.460725401;6.891926477;24.95548293;38.35845903
177950;41.987425;12.88655792;4650550;2344936;Est;012;Lazio;10;0.664813993;0.332406997;1.501019693;0.761779302;59.84508247;28.54026511
178073;41.987425;14.37086282;4648580;2467894;Est;013;Abruzzo;9;1.159988278;0.579994139;2.456073798;0.242987454;35.80509176;25.13959676
178213;41.97842191;13.07954984;4649173;2360902;Est;012;Lazio;5;2.609063066;1.304531533;3.229165577;0.480467612;29.1567582;25.5616896
178233;41.97842191;13.32086623;4648753;2380895;Est;013;Abruzzo;11;1.015444594;0.507722297;1.020870101;0.189294682;29.28828404;19.88795891
178281;41.97842191;13.90002557;4647974;2428879;Est;013;Abruzzo;8;1.692550771;0.846275386;13.38219471;29.57525657;10.03667352;14.51622962
178367;41.97842191;14.93768606;4647390;2514846;Est;014;Molise;9;0.497219562;0.248609781;0;0;31.15528838;21.65247739
178450;41.9694188;12.94675616;4648429;2349875;Est;012;Lazio;7;2.630899551;1.315449775;3.280494228;22.50239715;48.91537312;0.95230513
178530;41.9694188;13.9118858;4646962;2429848;Est;013;Abruzzo;8;0.685597796;0.342798898;2.492317983;11.46295619;13.80501435;21.49599297
178570;41.9694188;14.39445062;4646566;2469834;Est;013;Abruzzo;10;1.470263644;0.735131822;1.585387634;2.709617985;84.86187332;168.5965808
178638;41.96041568;12.21087878;4649154;2288863;Est;012;Lazio;9;1.978916258;0.989458129;3.554526186;0;45.40897648;21.65263814
178688;41.96041568;12.81399989;4647702;2338849;Est;012;Lazio;16;0;0;1.082162646;0;28.07884133;30.71013693
178729;41.96041568;13.3085592;4646774;2379836;Est;013;Abruzzo;8;1.908022268;0.954011134;2.481220528;9.746625418;51.31243088;89.28212509
179210;41.9424094;13.13949181;4645065;2365781;Est;012;Lazio;5;1.822548808;0.911274404;7.783886384;8.686815738;32.1932622;46.81480641
179662;41.92440306;12.50034977;4644414;2312738;Est;012;Lazio;7;3.998019618;1.999009809;3.108811921;28.52928597;43.58884446;30.1370759
180032;41.91539986;13.71779114;4641187;2413676;Est;013;Abruzzo;9;0.252709851;0.126354925;0.461547205;1.874189647;44.65155383;59.47180958
180109;41.91539986;14.64594468;4640452;2490648;Est;013;Abruzzo;15;0;0;2.182673305;0.465081689;77.07320177;78.77716059
180293;41.90639666;13.3439936;4640718;2382657;Est;012;Lazio;2;0.233005132;0.116502566;2.086909312;1.915852702;41.67383549;73.82964459
180682;41.89739344;14.23560943;4638675;2456601;Est;013;Abruzzo;10;0.615368634;0.307684317;2.067637083;1.793238532;19.38267384;36.88484231
180687;41.89739344;14.29586221;4638632;2461599;Est;014;Molise;3;0.194987741;0.097493871;3.678672682;30.23154279;48.21410247;41.82052356
180719;41.89739344;14.68147999;4638441;2493587;Est;014;Molise;10;0;0;1.161129932;0.42;42.1487387;82.50414559
180796;41.89739344;15.64552443;4638592;2573555;Est;016;Puglia;19;0;0;0;0;32.20215328;42.8456621
181008;41.88839021;14.21126127;4637693;2454572;Est;013;Abruzzo;10;0;0;4.346591956;0;36.16377061;43.14998834
181129;41.88839021;15.66917374;4637608;2575525;Est;016;Puglia;17;0;0;0.566200148;0.110607624;41.97600159;57.04211496
181268;41.87938696;13.34361795;4637720;2382568;Est;012;Lazio;8;2.125050288;1.062525144;2.653021655;3.101301731;77.88557268;96.85010284
181352;41.87938696;14.35558039;4636594;2466538;Est;013;Abruzzo;3;1.509936053;0.754968027;0.595804512;7.434754779;50.54255581;49.56939784
181376;41.87938696;14.64471252;4636454;2490529;Est;014;Molise;5;0;0;5.836117724;28.85647684;59.85200438;60.92736047
181692;41.8703837;14.45167713;4635539;2474506;Est;013;Abruzzo;13;2.824015126;1.412007563;1.528767468;17.37025666;41.97058571;46.50404219
181710;41.8703837;14.66849579;4635446;2492498;Est;014;Molise;9;0;0;2.175684096;12.47371134;74.47323586;67.97399157
181816;41.8703837;15.94531682;4635824;2598457;Est;016;Puglia;11;0.949820624;0.474910312;2.975161809;0.484059154;25.53575498;36.20265199
181844;41.86138042;12.29555793;4637931;2295534;Est;012;Lazio;19;1.526610674;0.763305337;1.547624045;4.647754796;27.72187688;31.92034097
182016;41.86138042;14.36709008;4634588;2467479;Est;014;Molise;3;0.337618058;0.168809029;2.235973773;0.701830291;34.39568432;59.20271694
182017;41.86138042;14.37913387;4634581;2468478;Est;013;Abruzzo;3;0.854840221;0.427420111;3.013012164;4.219369191;53.25962098;57.71720892
182148;41.86138042;15.95687056;4634835;2599427;Est;016;Puglia;14;0.428858403;0.214429201;4.599114935;3.940183915;33.33247269;35.77071008
182272;41.85237713;13.46366383;4634536;2392476;Est;013;Abruzzo;12;1.451061533;0.725530767;1.006739258;1.361092861;30.52135233;29.56570538
182590;41.84337382;13.31903704;4633761;2380450;Est;012;Lazio;8;3.710458154;1.855229077;9.290360033;8.711998133;63.99090407;83.74038526
182620;41.84337382;13.68024947;4633236;2410439;Est;013;Abruzzo;8;0.299199382;0.149599691;4.671303296;0.817236156;20.49585861;140.9102695
182771;41.84337382;15.49835201;4632513;2561382;Est;016;Puglia;17;0;0;0.419988272;0;33.36170828;21.20099592
182778;41.84337382;15.58263491;4632557;2568379;Est;016;Puglia;14;1.491515808;0.745757904;0;0.149672884;40.00397295;59.03832901
182813;41.84337382;16.0040494;4632880;2603366;Est;016;Puglia;14;9.22682689;4.613413445;0.034938248;0.818214227;26.48552537;63.36143151
