fdname;fdcod;fddesc1;fddesc2;fddesc1_en;fddesc2_en
DEcod;1;materiale recente (intatto);corteccia intatta e attaccata al legno, rametti con diametro inferiore ai 3 cm presenti, consistenza legno intatto, possibile micelio fungino sviluppato in piccole aree sottocorteccia;recently dead ;bark still attached, small branches (diameter < 3 cm) present, wood consistency intact, fungus mycelium absent or poorly developed
DEcod;2;materiale parzialmente decomposto;corteccia intatta ma allentata (non ancora distaccata), rametti in parte assenti, legno intatto, micelio fungino presente tra la corteccia e il legno ben sviluppato, presenza di zone marcescenti che si estendono per meno di 3 cm;weakly decayed; bark is loose but not fragmented, small branches are only partially present, wood consistency intact but fungus mycelium under bark well developed, presence of rotten areas but narrower than 3 cm
DEcod;3;materiale mediamente decomposto;tracce di corteccia, rametti assenti, legno in larghi pezzi (piccoli blocchi), zone marcescenti estese per oltre 3 cm, concomitante presenza di un nucleo consistente;medium decayed ;bark is fragmented, small branches absent, wood consistency reduced but the log still has a hard core, rotten areas wider than 3 cm
DEcod;4;materiale fortemente decomposto;corteccia assente, rametti assenti, legno in blocchi, zone marcescenti estese su tutto il frammento che a sua volta si presenta di consistenza molliccia e spesso di forma irregolare;very decayed ;bark and small branches absent, rotten throughout the log, wood consistency compromised and the log is irregularly shaped under the effects of its own weight
DEcod;5;materiale totalmente decomposto;corteccia assente, rametti assenti, consistenza polverosa, legno decomposto in scaglie e molle, singole scaglie spesso coperte dal terreno, da muschio o da licheni;almost decomposed;bark and small branches absent, wood consistency is lost (dust), rotten areas are large, the log is fragmented in sections and may be mossy
