idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
241460;5;308;2;2;18.84445784;15.5;0.21;0.00396253;0.001958622
241460;6;308;2;2;18.84445784;22;0.065;0.002470863;0.001221312
241460;7;308;2;2;18.84445784;20;0.07;0.002199115;0.001086991
241460;8;308;2;2;18.84445784;31.5;0.12;0.009351736;0.004622429
241460;9;308;2;2;18.84445784;37;0.11;0.011827311;0.005846071
241460;10;308;2;2;18.84445784;51;0.105;0.021449617;0.010602239
241460;11;352;2;1;18.84445784;9;1.15;0.007315984;0.003740948
95174;1;300;2;3;18.84445784;10;0.15;0.001178097;0.000530087
95174;2;500;2;3;18.84445784;18.5;0.35;0.009408088;0.004233183
95174;3;540;2;5;18.84445784;14.5;0.14;0.002311819;0.000709346
99707;3;440;2;3;18.84445784;29.5;0.12;0.008201913;0.003690463
99707;13;440;2;4;18.84445784;23.5;0.09;0.003903625;0.00160217
125968;1;260;2;4;18.84445784;20;0.125;0.003926991;0.00161176
112995;1;280;2;5;18.84445784;21;0.26;0.009005375;0.00276316
112995;2;280;2;5;18.84445784;23;0.11;0.004570232;0.001402305
112995;3;47;2;4;18.84445784;21.5;0.205;0.007442531;0.002565738
112995;4;280;2;4;18.84445784;29.5;0.15;0.010252391;0.004207902
112995;5;280;2;4;18.84445784;41;0.13;0.017163306;0.007044358
112995;6;280;2;4;18.84445784;36;0.18;0.018321768;0.007519827
112995;7;280;2;5;18.84445784;15.5;0.055;0.001037805;0.000318435
22325;8;330;2;1;18.84445784;28.5;0.485;0.030940073;0.015820867
22325;13;330;2;2;18.84445784;21.5;0.24;0.008713207;0.004306814
22325;21;330;2;3;18.84445784;18.5;0.01;0.000268803;0.000120948
22325;57;330;2;3;18.84445784;25;0.24;0.011780972;0.005300866
144502;1;49;2;1;18.84445784;20;0.055;0.001727876;0.000793918
144502;2;49;2;1;18.84445784;22;0.07;0.002660929;0.001222633
144502;3;352;2;1;18.84445784;13.5;0.08;0.001145111;0.00058554
144502;4;49;2;1;18.84445784;23;0.075;0.003116067;0.001431758
144502;5;352;2;1;18.84445784;9;0.08;0.000508938;0.00026024
144502;6;49;2;1;18.84445784;17;0.1;0.002269801;0.001042919
144502;7;49;2;1;18.84445784;25.5;0.025;0.001276763;0.000586642
144502;8;49;2;1;18.84445784;24.5;0.03;0.001414306;0.00064984
144502;9;49;2;1;18.84445784;23.5;0.05;0.002168681;0.000996457
144502;10;49;2;1;18.84445784;16.5;0.07;0.001496773;0.000687731
144502;11;49;1;1;18.84445784;19;0.055;0.001559408;0.000716511
144502;12;49;1;1;18.84445784;22;0.095;0.003611261;0.001659288
144502;13;49;1;1;18.84445784;24;0.02;0.000904779;0.000415724
144502;14;49;1;1;18.84445784;20.5;0.055;0.00181535;0.00083411
