fdname;fdcod;fddesc1;fddesc1_lat;fddesc2;fddesc2_en
SPcod;585;ginestra comune;Spartium junceum;arbusto;shrub
SPcod;596;ginestra ghiandolosa;Adenocarpus complicatus;arbusto;shrub
SPcod;595;ginestra (arborea);Genista sp.;albero;tree
SPcod;594;ginestra (arbustiva);Genista sp.;arbusto;shrub
SPcod;597;ginestrella;Osyris alba;arbusto;shrub
SPcod;600;ginestrone;Ulex europaeus;arbusto;shrub
SPcod;727;ibisco;Hibiscus syriacus;arbusto;shrub
SPcod;733;ilatro comune (arboreo);Phillyrea latifolia;albero;tree
SPcod;732;ilatro comune (arbustivo);Phillyrea latifolia;arbusto;shrub
SPcod;731;ilatro sottile (arboreo);Phillyrea angustifolia;albero;tree
SPcod;730;ilatro sottile (arbustivo);Phillyrea angustifolia;arbusto;shrub
SPcod;637;indaco;Amorpha fruticosa;arbusto;shrub
SPcod;638;iperico;Hypericum sp.;arbusto;shrub
SPcod;495;ippocastano;Aesculus hippocastanum;albero;tree
SPcod;636;jucca;Yucca aloifolia;arbusto;shrub
SPcod;655;lampone;Rubus idaeus;arbusto;shrub
SPcod;80;larice;Larix decidua;albero;tree
SPcod;81;larice giapponese;Larix kaempferi (L. leptolepis);albero;tree
SPcod;608;lauroceraso;Prunus laurocerasus;arbusto;shrub
SPcod;607;lauro-tino;Viburnum tinus;arbusto;shrub
SPcod;735;lavanda;Lavandula sp.;arbusto;shrub
SPcod;311;leccio (arboreo);Quercus ilex;albero;tree
SPcod;314;leccio (arbustivo);Quercus ilex;arbusto;shrub
SPcod;639;legno-puzzo;Anagyris foetida;arbusto;shrub
SPcod;681;lentisco;Pistacia lentiscus;arbusto;shrub
SPcod;610;ligustro;Ligustrum vulgare;arbusto;shrub
SPcod;357;liriodendro;Liriodendron tulipifera;albero;tree
SPcod;612;luppolo;Humulus lupulus;arbusto;shrub
SPcod;365;maclura;Maclura pomifera;albero;tree
SPcod;614;maggiociondolo;Laburnum sp.;arbusto;shrub
SPcod;295;malebbo;Prunus mahaleb;arbusto;shrub
SPcod;617;malvone;Lavatera sp.;arbusto;shrub
SPcod;620;marruca;Paliurus spina-christi;arbusto;shrub
SPcod;360;melo;Malus sp.;albero;tree
SPcod;367;melograno;Punica granatum;albero;tree
SPcod;743;mirtillo;Vaccinium sp.;arbusto;shrub
SPcod;745;mirto;Myrtus communis;arbusto;shrub
SPcod;53;mugo;Pinus mugo;arbusto;shrub
SPcod;370;nespolo (arboreo);Mespilus germanica;albero;tree
SPcod;371;nespolo (arbustivo);Mespilus germanica;arbusto;shrub
SPcod;625;nocciolo;Corylus sp.;arbusto;shrub
SPcod;380;noce;Juglans regia;albero;tree
SPcod;381;noce nero;Juglans nigra;albero;tree
SPcod;750;oleandro;Nerium oleander;arbusto;shrub
SPcod;756;oleastro (arboreo);Olea europaea;albero;tree
SPcod;755;oleastro (arbustivo);Olea europaea;arbusto;shrub
SPcod;760;olivagno (arbustivo);Elaeagnus angustifolia;arbusto;shrub
SPcod;761;olivagno (arboreo);Elaeagnus angustifolia;albero;tree
SPcod;630;olivello spinoso;Hippophae rhamnoides;arbusto;shrub
SPcod;390;olmo comune;Ulmus minor;albero;tree
SPcod;391;olmo di montagna;Ulmus glabra;albero;tree
SPcod;389;olmo (altre sp.);Ulmus sp.;albero;tree
SPcod;763;ononide;Ononis sp.;arbusto;shrub
SPcod;400;ontano bianco;Alnus incana;albero;tree
SPcod;401;ontano napoletano;Alnus cordata;albero;tree
SPcod;402;ontano nero;Alnus glutinosa;albero;tree
SPcod;403;ontano verde;Alnus viridis;arbusto;shrub
SPcod;352;orniello;Fraxinus ornus;albero;tree
SPcod;292;pado (arboreo);Prunus padus;albero;tree
SPcod;298;pado (arbustivo);Prunus padus;arbusto;shrub
SPcod;606;palle di neve;Viburnum opalus;arbusto;shrub
SPcod;765;palma nana;Chamaerops humilis;arbusto;shrub
SPcod;405;paulownia;Paulownia tomentosa;albero;tree
SPcod;767;periploca;Periploca graeca;arbusto;shrub
SPcod;409;pero;Pyrus sp.;albero;tree
SPcod;635;pero corvino;Amelanchier ovalis;arbusto;shrub
SPcod;41;pino bruzio;Pinus brutia;albero;tree
SPcod;42;pino d' Aleppo;Pinus halepensis;albero;tree
SPcod;55;pino delle Canarie;Pinus canariensis;albero;tree
SPcod;43;pino domestico;Pinus pinea;albero;tree
SPcod;44;pino eccelso;Pinus excelsa (P.wallichiana);albero;tree
SPcod;45;pino laricio;Pinus  laricio;albero;tree
SPcod;46;pino loricato;Pinus leucodermis;albero;tree
SPcod;47;pino marittimo;Pinus pinaster;albero;tree
SPcod;48;pino montano;Pinus uncinata;albero;tree
SPcod;49;pino nero;Pinus nigra;albero;tree
SPcod;54;pino pumilio;Pinus pumilio;arbusto;shrub
SPcod;50;pino radiato;Pinus radiata;albero;tree
SPcod;51;pino silvestre;Pinus sylvestris;albero;tree
SPcod;52;pino strobo;Pinus strobus;albero;tree
SPcod;39;pino (altre sp.);Pinus sp.;albero;tree
SPcod;419;pioppi (esotici e ibridi);Populus sp.;albero;tree
SPcod;420;pioppo bianco;Populus alba;albero;tree
SPcod;421;pioppo canescente;Populus canescens;albero;tree
SPcod;105;tuia;Thuja sp.;albero;tree
SPcod;535;uva ursina;Arctostaphylos uva-ursi;arbusto;shrub
SPcod;309;vallonea;Quercus macrolepis;albero;tree
SPcod;685;vescicaria;Colutea arborescens;arbusto;shrub
SPcod;605;viburno lantana;Viburnum lantana;arbusto;shrub
SPcod;690;vite;Vitis sp.;arbusto;shrub
SPcod;692;vite del Canada;Parthenocissus sp.;arbusto;shrub
SPcod;422;pioppo ibrido;Populus xcanadensis;albero;tree
SPcod;423;pioppo nero;Populus nigra;albero;tree
SPcod;424;pioppo tremulo;Populus tremula;albero;tree
SPcod;640;piracanta;Pyracantha coccinea;arbusto;shrub
SPcod;641;pittosporo;Pittosporum tobira;arbusto;shrub
SPcod;430;platano ibrido;Platanus hybrida;albero;tree
SPcod;431;platano orientale;Platanus orientalis;albero;tree
SPcod;296;prugnolo;Prunus spinosa;arbusto;shrub
SPcod;293;prugnolo tardivo;Prunus serotina;albero;tree
SPcod;289;pruno (altre sp.);Prunus sp.;arbusto;shrub
SPcod;297;pruno del Delfinato;Prunus brigantiaca;arbusto;shrub
SPcod;90;pseudotsuga;Pseudotsuga menziesii;albero;tree
SPcod;656;pungitopo;Ruscus aculeatus;arbusto;shrub
SPcod;306;quercia rossa;Quercus rubra;albero;tree
SPcod;299;quercia (altre sp.);Quercus sp.;albero;tree
SPcod;645;ramno alpino;Rhamnus alpinus;arbusto;shrub
SPcod;644;ramno (altre sp.);Rhamnus sp.;arbusto;shrub
SPcod;770;retama;Retama raetam;arbusto;shrub
SPcod;772;ribes;Ribes sp.;arbusto;shrub
SPcod;774;robbia;Rubia peregrina;arbusto;shrub
SPcod;440;robinia;Robinia pseudacacia;albero;tree
SPcod;530;rododendro irsuto;Rhododendron hirsutum;arbusto;shrub
SPcod;531;rododendro rosso;Rhododendron ferrugineum;arbusto;shrub
SPcod;650;rosa;Rosa sp.;arbusto;shrub
SPcod;775;rosmarino;Rosmarinus officinalis;arbusto;shrub
SPcod;307;rovere;Quercus petraea;albero;tree
