fdname;fddesc;fddesc_en;datatype;tabdecod;refyear;munit
Vut_ha;volume asportato con utilizzazioni nei 12 mesi precedenti il rilievo, per ettaro;volume of wood (stem+large branches) exploited in the 12 months preeceding the NFI survey, per hectare;numeric;-1;2005;m3ha-1
Wut_ha;fitomassa (peso secco) asportata con utilizzazioni nei 12 mesi precedenti il rilievo, per ettaro;dry weight of wood (stem+large branches) exploited in the 12 months preeceding the NFI survey, per hectare;numeric;-1;2005;Mgha-1
Cut_ha;carbonio organico asportato con utilizzazioni nei 12 mesi precedenti il rilievo, per ettaro;organic carbon stock of wood (total above-ground biomass) exploited in the 12 months preeceding the NFI survey, per hectare;numeric;-1;2005;Mgha-1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
