idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Napv_ha;Gapv_ha;Vapv_ha;W1apv_ha;W2apv_ha;W3apv_ha;W4apv_ha;Capv_ha;Napm_ha;Gapm_ha;Vapm_ha;Wapm_ha;Capm_ha;ICVapv_ha;ICWapv_ha;ICCapv_ha;Nce_ha;Vce_ha;Wce_ha;Cce_ha;Vne_ha;Wne_ha;Cne_ha;Nrin1_ha;Wrin1_ha;Crin1_ha;Nrin2_ha;Wrin2_ha;Crin2_ha;Nrin3_ha;Wrin3_ha;Crin3_ha;Warb1_ha;Carb1_ha;Warb2_ha;Carb2_ha;Warb3_ha;Carb3_ha;Vut_ha;Wut_ha;Cut_ha
135494;43.48174157;12.39032332;4817637;2308960;Est;010;Umbria;10;56.53337353;5.232312323;42.33159981;27.80451313;5.184655709;0.679526047;33.66869489;16.83434744;0;0;0;0;0;1.327789892;1.084807559;0.54240378;339.2002412;1.572946085;0.784663356;0.392331678;0;0;0;10345.0713;0.338966606;0.169483303;0;0;0;0;0;0;0.424203628;0.212101814;0;0;0;0;76.37452453;60.46785307;30.23392654
135634;43.47274084;10.82074647;4814939;1647293;Ovest;009;Toscana;10;1703.067878;18.47339999;129.5963358;87.31434025;22.22576186;2.407846111;111.9479482;55.97397411;199.044586;0.390823131;1.33633853;0.698592526;0.349296263;3.395089263;2.773796154;1.386898077;0;0;0;0;0;0;0;7161.972439;0.234669189;0.117334594;17507.04374;5.80530069;2.902650345;5570.423008;11.99941531;5.999707657;1.591232;0.795616;1.042766284;0.521383142;0;0;0;0;0
135688;43.47274084;11.4881295;4816337;1701275;Ovest;009;Toscana;11;793.8227867;40.20066849;158.8383994;80.13883283;18.96758766;2.440260261;101.5466808;50.77334038;0;0;0;0;0;6.711900992;4.351021643;2.175510821;0;0;0;0;0;0;0;0;0;0;6366.197724;2.111018433;1.055509216;1591.549431;3.428404376;1.714202188;0;0;1.729285704;0.864642852;0;0;0;0;0
135750;43.47274084;12.2543841;4816991;2297932;Est;010;Umbria;5;1162.467493;13.23091239;73.24547247;34.82191567;16.82163026;0.823159694;52.46670562;26.23335281;18.84445784;0.195735324;0.96374205;0.422666529;0.211333264;2.496048437;1.388816953;0.694408476;0;0;0;0;0;0;0;9549.296586;0.312892252;0.156446126;0;0;0;0;0;0;1.013375333;0.506687666;2.132848125;1.066424062;3.197882765;1.598941382;0;0;0
135762;43.47274084;12.40269144;4816606;2309929;Est;010;Umbria;13;670.1560321;28.23731808;267.6614986;129.4646921;37.47961374;3.576049081;170.5203549;85.26017747;18.84445784;0.250126804;0.650329689;0.339970337;0.169985169;5.114035282;3.258764017;1.629382008;0;0;0;0;0;0;0;4774.648293;0.156446126;0.078223063;795.7747155;0.263877304;0.131938652;3183.098862;6.856808751;3.428404376;0.824840387;0.412420193;0.387790568;0.193895284;1.598941382;0.799470691;0;0;0
135765;43.47274084;12.43976828;4816513;2312928;Est;010;Umbria;10;2394.423925;15.33321707;67.79778334;42.80096559;15.11205743;1.387330507;59.30035353;29.65017676;199.044586;0.562785308;1.810317085;0.946372462;0.473186231;2.040839211;1.66737058;0.83368529;0;0;0;0;0;0;0;13528.17016;0.443264024;0.221632012;11936.62073;3.958159561;1.979079781;1591.549431;3.428404376;1.714202188;0.141401209;0.070700605;1.745057557;0.872528778;9.593648294;4.796824147;0;0;0
135772;43.47274084;12.52628089;4816301;2319926;Est;010;Umbria;10;3236.535635;24.12040109;120.3054666;76.15139958;22.17978328;2.597323577;100.9285064;50.46425322;0;0;0;0;0;8.529075351;6.968275226;3.484137613;0;0;0;0;0;0;0;2387.324146;0.078223063;0.039111531;5570.423008;1.847141129;0.923570564;6366.197724;13.7136175;6.856808751;1.094444992;0.547222496;4.742548534;2.371274267;0;0;0;0;0
135815;43.47274084;13.05771553;4815161;2362911;Est;011;Marche;7;1673.623412;21.92531638;101.3674267;49.96209587;27.10568279;1.566892351;78.634671;39.3173355;37.68891569;1.039728281;4.955334541;2.194570774;1.097285387;4.503799563;2.610916292;1.305458146;0;0;0;0;0;0;0;2387.324146;0.078223063;0.039111531;4774.648293;1.583263825;0.791631912;1591.549431;3.428404376;1.714202188;1.502622046;0.751311023;2.520638693;1.260319346;0;0;0;0;0
135883;43.46374009;10.59856051;4813571;1629341;Ovest;009;Toscana;10;3118.757773;38.36532606;231.7090659;151.141852;36.3256505;4.397772947;191.8652755;95.93263775;653.6671315;2.241335966;9.182176576;4.786070794;2.393035397;7.349487179;6.004548832;3.002274416;0;0;0;0;0;0;0;5570.423008;0.18252048;0.09126024;11140.84602;3.694282257;1.847141129;3978.873577;8.571010939;4.28550547;1.638365736;0.819182868;0.96947642;0.48473821;0;0;0;0;0
135955;43.46374009;11.48827253;4815337;1701317;Ovest;009;Toscana;9;734.933856;22.76560924;160.8997774;103.8303515;25.86029312;2.508187567;132.1988322;66.0994161;56.53337353;0.714119425;3.957148908;2.078619626;1.039309813;2.515890107;2.108547631;1.054273816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.188534946;0.094267473;2.520638693;1.260319346;4.796824147;2.398412073;0;0;0
