idpunto;idapm;SPcod;VITcod;DEcod;FEha;Dapm;Hapm;Gapm;Vapm;W4apm
199584;4;352;6;1;18.84445784;16;13.28164007;0.020106193;0.132859737;0.069454571
199584;5;352;6;1;18.84445784;11.5;11.5080729;0.010386891;0.059408765;0.03105689
54772;11;280;6;3;18.84445784;16.5;15.75880658;0.021382465;0.166986144;0.085781664
54772;13;280;6;3;18.84445784;12;13.55441399;0.011309734;0.078223815;0.040183987
54772;19;280;6;3;18.84445784;16.5;15.75880658;0.021382465;0.166986144;0.085781664
54772;32;280;6;3;18.84445784;10;12.2591487;0.007853982;0.050220964;0.025798774
54772;34;280;6;3;18.84445784;20;16.97122399;0.031415927;0.260835053;0.133992344
54772;35;280;6;3;18.84445784;14;14.64080078;0.015393804;0.113233452;0.058168622
118878;9;90;6;3;18.84445784;14;15.64004007;0.015393804;0.111399145;0.042804644
118878;14;280;6;4;18.84445784;11;13.07567975;0.009503318;0.063977021;0.028058281
118878;15;280;6;4;18.84445784;10;12.24899883;0.007853982;0.050183892;0.022009055
118878;18;280;6;3;18.84445784;10.5;12.6690796;0.008659015;0.056833462;0.029195649
118878;22;280;6;4;18.84445784;12.5;14.21905023;0.012271846;0.088453644;0.038792947
118878;24;90;6;3;18.84445784;11.5;13.62378081;0.010386891;0.066143803;0.025415473
27559;64;330;6;1;199.044586;6;7.671640032;0.002827433;0.011572824;0.006049881
168738;15;300;6;1;18.84445784;26;18.57593971;0.053092916;0.478127548;0.249948889
35272;4;20;6;1;18.84445784;14.5;12.0940674;0.016512996;0.102312928;0.045311363
35272;10;20;6;2;18.84445784;14;11.56158163;0.015393804;0.091767777;0.038898639
149739;24;710;6;2;18.84445784;9.5;6.504645154;0.007088218;0.024203487;0.012726076
110242;2;280;6;1;199.044586;5;7.765123789;0.001963495;0.008812679;0.00460697
110242;4;280;6;1;199.044586;8;10.74518228;0.005026548;0.029073577;0.015198682
110242;8;280;6;1;199.044586;7;9.841751257;0.003848451;0.020825212;0.010886716
110242;9;280;6;2;18.84445784;10;12.32730594;0.007853982;0.050469901;0.026536829
110242;11;280;6;2;18.84445784;16.5;15.93082911;0.021382465;0.168696678;0.088699893
110242;14;280;6;1;199.044586;5;7.765123789;0.001963495;0.008812679;0.00460697
110242;15;280;6;1;199.044586;8;10.74518228;0.005026548;0.029073577;0.015198682
110242;18;280;6;2;18.84445784;13;14.23890319;0.013273229;0.095570059;0.050250272
110242;19;280;6;1;199.044586;7;9.841751257;0.003848451;0.020825212;0.010886716
110242;21;280;6;2;18.84445784;14.5;15.025637;0.016512996;0.124181059;0.065293797
33241;49;51;6;3;18.84445784;16;9.373819608;0.020106193;0.098540183;0.037863643
33241;57;308;6;1;18.84445784;10.5;7.800650939;0.008659015;0.035451813;0.018533007
149739;67;711;6;1;18.84445784;9;6.34760379;0.006361725;0.021737889;0.011363832
251837;7;352;6;1;18.84445784;14.5;9.362776279;0.016512996;0.076873657;0.040186945
252197;10;311;6;1;18.84445784;13.5;8.094378587;0.014313882;0.06479436;0.033872297
94955;10;280;6;1;18.84445784;22.5;18.83664135;0.039760782;0.36304859;0.189789508
40524;8;49;6;1;18.84445784;16;11.53922174;0.020106193;0.123867755;0.054857357
24092;28;400;6;3;18.84445784;15;13.8408354;0.017671459;0.12370439;0.063547598
24092;32;400;6;1;18.84445784;12.5;11.90604663;0.012271846;0.075279117;0.039353373
24092;34;400;6;1;18.84445784;11;10.63444483;0.009503318;0.05205915;0.02721476
24092;39;400;6;4;18.84445784;11;10.63444483;0.009503318;0.05205915;0.022831483
24092;41;400;6;1;18.84445784;10.5;10.19203971;0.008659015;0.045235999;0.023647848
24092;49;400;6;4;18.84445784;10.5;10.19203971;0.008659015;0.045235999;0.019839066
211463;20;49;6;1;18.84445784;17;10.74240745;0.022698007;0.131810999;0.058375184
136480;21;47;6;2;18.84445784;14;9.065358341;0.015393804;0.071051721;0.030117492
13876;65;20;6;1;18.84445784;16;12.21621981;0.020106193;0.125457808;0.055561544
14821;1;51;6;1;18.84445784;25.5;14.39050913;0.051070516;0.374142856;0.16569678
14821;3;51;6;1;18.84445784;26.5;14.56022129;0.055154586;0.408504877;0.1809147
14821;4;80;6;1;18.84445784;60;18.05294427;0.282743339;1.971214981;0.872992681
14821;5;51;6;1;18.84445784;30.5;15.10754267;0.073061664;0.560170491;0.248082905
14821;6;51;6;1;18.84445784;22;13.66469369;0.038013271;0.265461489;0.117565024
14821;7;51;6;1;18.84445784;48;16.11907116;0.180955737;1.184058437;0.524384382
14821;9;51;6;1;18.84445784;18.5;12.68162915;0.026880252;0.175408884;0.077683395
14821;10;51;6;1;18.84445784;27;14.63964577;0.057255526;0.426226298;0.188762993
14821;11;51;6;1;18.84445784;27.5;14.71565097;0.059395736;0.444305126;0.19676957
14821;14;51;6;1;18.84445784;32.5;15.31660417;0.082957681;0.644318974;0.285349774
14821;15;51;6;1;18.84445784;27.5;14.71565097;0.059395736;0.444305126;0.19676957
14821;16;51;6;1;18.84445784;15.5;11.57094531;0.018869191;0.113601149;0.050310581
14821;17;51;6;1;18.84445784;29.5;14.98827125;0.068349275;0.520153537;0.230360582
14821;18;51;6;1;18.84445784;36.5;15.6381553;0.10463467;0.828738649;0.367023781
14821;19;51;6;1;18.84445784;17.5;12.34221782;0.024052819;0.153207577;0.067851094
14821;20;51;6;1;18.84445784;24.5;14.20524115;0.047143525;0.341236708;0.151123623
14821;21;51;6;1;18.84445784;21;13.4133793;0.034636059;0.237796712;0.105313115
14821;22;51;6;1;18.84445784;10.5;8.983777305;0.008659015;0.042718921;0.018918944
14821;23;51;6;1;18.84445784;10;8.663954945;0.007853982;0.037804545;0.016742512
14821;24;51;6;1;199.044586;9;7.986679865;0.006361725;0.029110943;0.012892374
24092;54;400;6;1;18.84445784;11;10.63444483;0.009503318;0.05205915;0.02721476
24092;57;400;6;1;18.84445784;14.5;13.47206462;0.016512996;0.113010313;0.059077964
24092;65;400;6;1;18.84445784;13;12.31134323;0.013273229;0.083969391;0.043896354
24092;68;400;6;1;18.84445784;11.5;11.06760204;0.010386891;0.059333631;0.031017613
24092;75;400;6;1;18.84445784;11.5;11.06760204;0.010386891;0.059333631;0.031017613
110242;68;280;6;2;18.84445784;13;14.23890319;0.013273229;0.095570059;0.050250272
110242;70;280;6;2;18.84445784;14;14.77443895;0.015393804;0.114190128;0.060040614
110242;76;280;6;1;18.84445784;12.5;13.95353383;0.012271846;0.086938375;0.045448438
63018;4;625;6;1;199.044586;6;6.711315228;0.002827433;0.012098337;0.006324601
121510;6;47;6;2;18.84445784;21;12.51952765;0.034636059;0.214465955;0.090908095
6126;1;20;6;1;18.84445784;10;7.7848048;0.007853982;0.032512683;0.014398904
212408;8;280;6;1;199.044586;5;5.402421827;0.001963495;0.006655295;0.003479163
35769;4;330;6;1;199.044586;8;8.948691776;0.005026548;0.023127398;0.01209022
35769;5;330;6;1;199.044586;8;8.948691776;0.005026548;0.023127398;0.01209022
35769;6;330;6;1;199.044586;7;8.258722795;0.003848451;0.016579764;0.008667339
35769;15;614;6;1;199.044586;8;7.466535864;0.005026548;0.02023098;0.010576071
35769;17;330;6;1;199.044586;5;6.663444101;0.001963495;0.007302535;0.003817518
45043;20;440;6;1;18.84445784;22;21.48251045;0.038013271;0.387011255;0.202316377
11996;23;49;6;2;18.84445784;11.5;7.444986045;0.010386891;0.0449042;0.019034048
35769;39;614;6;2;18.84445784;11.5;8.717302827;0.010386891;0.042644362;0.022422198
35769;40;614;6;2;18.84445784;11.5;8.717302827;0.010386891;0.042644362;0.022422198
35769;69;614;6;2;18.84445784;13;9.129743973;0.013273229;0.055402155;0.029130184
97498;30;280;6;2;18.84445784;13;7.205278717;0.013273229;0.052154618;0.027422645
97498;40;280;6;2;18.84445784;14;7.346958176;0.015393804;0.061018992;0.032083489
97498;43;280;6;2;18.84445784;16;7.578291267;0.020106193;0.08077173;0.042469383
14726;15;451;6;2;18.84445784;12.5;9.649424232;0.012271846;0.056375609;0.029642021
14726;28;451;6;3;18.84445784;9.5;8.395351159;0.007088218;0.027179471;0.013962238
120278;77;409;6;1;18.84445784;13;8.515497566;0.013273229;0.05215526;0.027265004
26165;8;451;6;2;18.84445784;43.5;24.61989664;0.148616967;1.688222629;0.887659245
26165;13;400;6;1;18.84445784;15;13.58820433;0.017671459;0.121849011;0.063698536
165995;28;390;6;1;18.84445784;11;10.54019292;0.009503318;0.046290122;0.024198908
183575;21;308;6;1;199.044586;5;3.89003341;0.001963495;0.00319883;0.00167224
127710;29;352;6;1;18.84445784;10;9.666267786;0.007853982;0.037691472;0.019703825
118507;4;300;6;1;199.044586;5;6.165072192;0.001963495;0.005825774;0.003045517
118507;6;300;6;1;199.044586;5;6.165072192;0.001963495;0.005825774;0.003045517
118507;12;614;6;1;199.044586;6;6.438158515;0.002827433;0.01179076;0.00616381
35772;27;330;6;1;18.84445784;11;12.04696693;0.009503318;0.057610126;0.030116623
35772;42;20;6;2;18.84445784;10;7.745875598;0.007853982;0.032378074;0.013724458
183575;9;308;6;1;199.044586;5;3.89003341;0.001963495;0.00319883;0.00167224
201528;2;308;6;3;18.84445784;13.5;7.625795532;0.014313882;0.058225665;0.029910831
201528;11;313;6;2;18.84445784;12.5;5.812796116;0.012271846;0.041667283;0.021908455
40357;4;302;6;1;18.84445784;22.5;17.41608731;0.039760782;0.335695293;0.17549013
40357;10;424;6;1;18.84445784;23.5;20.01245318;0.043373614;0.356724837;0.186483663
40358;19;424;6;1;18.84445784;17;16.09964237;0.022698007;0.154159038;0.080589124
40358;20;302;6;1;18.84445784;12.5;11.83178928;0.012271846;0.070354077;0.036778729
40358;26;280;6;1;18.84445784;12.5;13.77191691;0.012271846;0.08590191;0.044906609
